member_id,first_name,last_name,role,seniority,hourly_rate,skills,availability,hire_date
MEMBER_000000,First0,Last0,Full Stack Developer,Mid-level,93.53383375254228,"FullStackDeveloper, Python, SQL",0.8212471300170133,2021-08-31
MEMBER_000001,First1,Last1,Full Stack Developer,Junior,58.65103601890682,"FullStackDeveloper, Python, SQL",0.5785175130634136,2021-05-28
MEMBER_000002,First2,Last2,QA Engineer,Principal,271.60310380901797,"QAEngineer, Python, SQL",0.6780110316112666,2020-09-25
MEMBER_000003,First3,Last3,Frontend Developer,Mid-level,90.31060635911851,"FrontendDeveloper, Python, SQL",0.9809787850795735,2020-03-30
MEMBER_000004,First4,Last4,Frontend Developer,Senior,179.9579101651633,"FrontendDeveloper, Python, SQL",0.9438650366520183,2022-09-12
MEMBER_000005,First5,Last5,Data Scientist,Principal,205.9439179525052,"DataScientist, Python, SQL",0.9251090396454197,2020-08-15
MEMBER_000006,First6,Last6,QA Engineer,Senior,141.74797396615355,"QAEngineer, Python, SQL",0.6212321399881657,2020-03-03
MEMBER_000007,First7,Last7,UI/UX Designer,Mid-level,111.42966180485688,"UI/UXDesigner, Python, SQL",1.013304486068641,2020-12-30
MEMBER_000008,First8,Last8,Full Stack Developer,Mid-level,102.08258080589657,"FullStackDeveloper, Python, SQL",0.9355932827229722,2025-03-23
MEMBER_000009,First9,Last9,Data Scientist,Senior,168.95941812108236,"DataScientist, Python, SQL",0.713583970309226,2021-12-13
MEMBER_000010,First10,Last10,DevOps Engineer,Junior,83.37423411775158,"DevOpsEngineer, Python, SQL",0.8997373833931676,2020-01-26
MEMBER_000011,First11,Last11,Data Scientist,Lead,193.49495399352054,"DataScientist, Python, SQL",0.7594079623428653,2022-03-18
MEMBER_000012,First12,Last12,UI/UX Designer,Mid-level,80.71184960511307,"UI/UXDesigner, Python, SQL",0.9035132922061997,2020-03-14
MEMBER_000013,First13,Last13,Backend Developer,Senior,147.64833743089693,"BackendDeveloper, Python, SQL",0.515141700623824,2023-03-24
MEMBER_000014,First14,Last14,Frontend Developer,Junior,59.64626443484468,"FrontendDeveloper, Python, SQL",0.4989406082164356,2025-02-25
MEMBER_000015,First15,Last15,Frontend Developer,Principal,218.77089038043297,"FrontendDeveloper, Python, SQL",0.6574567296571198,2024-05-20
MEMBER_000016,First16,Last16,Project Manager,Senior,155.34514050662344,"ProjectManager, Python, SQL",0.9245334220780449,2022-04-12
MEMBER_000017,First17,Last17,Project Manager,Lead,210.56323989036827,"ProjectManager, Python, SQL",0.7775705199506838,2022-12-15
MEMBER_000018,First18,Last18,UI/UX Designer,Principal,300.74441039617705,"UI/UXDesigner, Python, SQL",0.6989774751990255,2024-12-15
MEMBER_000019,First19,Last19,Backend Developer,Senior,169.06607770267357,"BackendDeveloper, Python, SQL",0.9187082528664773,2021-01-16
MEMBER_000020,First20,Last20,UI/UX Designer,Mid-level,81.45389605700649,"UI/UXDesigner, Python, SQL",0.6565626766292065,2023-04-01
MEMBER_000021,First21,Last21,Project Manager,Mid-level,116.01916626142005,"ProjectManager, Python, SQL",0.615416011415157,2024-05-16
MEMBER_000022,First22,Last22,Backend Developer,Junior,57.184872744552365,"BackendDeveloper, Python, SQL",0.5611133218993964,2020-10-30
MEMBER_000023,First23,Last23,QA Engineer,Senior,168.34042281559724,"QAEngineer, Python, SQL",0.6926738427744559,2020-08-01
MEMBER_000024,First24,Last24,Backend Developer,Junior,81.07264047593088,"BackendDeveloper, Python, SQL",0.9576239884956892,2025-03-21
MEMBER_000025,First25,Last25,Full Stack Developer,Lead,208.95771743040072,"FullStackDeveloper, Python, SQL",0.9240824967351694,2023-08-23
MEMBER_000026,First26,Last26,Backend Developer,Principal,203.45388881763506,"BackendDeveloper, Python, SQL",0.934471955084754,2021-06-06
MEMBER_000027,First27,Last27,QA Engineer,Mid-level,112.50161568484921,"QAEngineer, Python, SQL",0.7596814890788686,2021-08-14
MEMBER_000028,First28,Last28,Backend Developer,Principal,197.14534568626487,"BackendDeveloper, Python, SQL",0.9148854501679087,2025-01-14
MEMBER_000029,First29,Last29,Data Scientist,Senior,163.88243394818775,"DataScientist, Python, SQL",0.6826015678990648,2025-03-12
